'',WP$,NNS,WRB,RBR,$,PRP,PRP$,``,JJ,VBG,:,NNPS,FW,NNP,CC,NN,(,),PDT,#,VBP,CD,VBN,RBS,VBZ,WDT,TO,VB,WP,EX,MD,JJR,SYM,RB,DT,VBD,RP,UH,POS,JJS,IN,length
48,0,64,4,2,8,147,10,0,168,40,1,0,0,201,105,430,0,0,10,0,63,39,46,0,82,5,44,159,5,11,112,5,0,210,192,25,1,0,78,0,279,2594.0
3,0,483,77,11,11,940,42,0,1215,265,31,3,12,1469,602,2046,0,0,26,0,725,244,244,2,810,162,364,783,126,55,227,27,1,848,1227,214,71,1,29,17,1276,14689.0
0,0,45,1,0,0,122,3,0,182,17,0,0,1,112,63,218,0,0,1,0,55,10,13,0,68,6,54,116,11,1,32,3,0,87,111,19,10,0,2,1,155,1519.0
0,0,263,69,9,0,723,44,0,767,199,246,3,8,1130,201,1325,0,0,12,0,587,335,76,2,409,73,256,587,75,28,139,43,0,498,664,76,43,2,21,16,758,9687.0
1,0,109,7,2,0,271,23,0,298,41,0,0,4,199,124,442,0,0,5,0,184,149,15,0,131,19,113,223,20,7,57,3,0,185,317,43,11,0,38,1,216,3258.0
1,2,352,62,18,6,739,57,0,812,197,73,3,12,1609,729,2111,0,0,27,0,497,235,144,1,445,70,291,680,108,30,230,49,0,832,952,172,34,1,38,12,1160,12791.0
8,0,155,28,4,7,480,13,0,604,121,10,0,7,710,176,1124,0,0,19,0,331,182,81,2,515,97,226,377,64,20,72,12,0,526,751,89,37,0,11,4,647,7510.0
1,0,245,46,17,9,594,16,0,835,128,0,1,9,1008,241,1321,0,0,15,0,347,180,96,2,512,82,184,458,44,16,142,18,0,712,915,184,39,0,13,11,918,9359.0
0,0,34,5,0,3,116,2,0,126,27,0,0,0,101,64,264,0,0,5,0,54,70,8,0,57,12,37,111,5,0,35,1,0,82,143,11,5,2,2,0,140,1522.0
0,0,61,15,0,0,154,8,0,254,52,0,0,1,181,100,545,0,0,6,0,122,42,60,0,76,15,78,224,10,8,120,9,0,127,277,20,1,0,17,1,303,2887.0
3,0,294,46,5,1,427,32,0,553,119,0,2,14,552,257,1364,0,0,33,0,365,174,109,0,469,61,199,442,44,47,152,19,1,457,928,84,44,1,9,3,931,8241.0
1,0,505,74,28,5,971,24,0,1260,318,5,1,9,1368,357,2389,0,0,42,0,904,285,139,0,705,98,459,791,51,65,186,44,0,1017,1333,175,75,1,20,26,1339,15070.0
0,0,59,18,0,16,120,4,0,196,15,1,0,1,188,75,258,0,0,3,0,67,177,10,0,88,12,41,97,10,1,24,1,0,87,139,33,8,0,2,0,102,1853.0
0,0,795,100,29,3,1021,94,0,1260,132,0,4,19,1113,755,2235,0,0,58,0,891,197,138,6,582,99,254,732,50,26,270,59,0,1410,1364,144,76,2,15,43,1498,15474.0
2,0,315,60,14,4,590,29,0,694,162,23,1,14,897,362,1310,0,0,30,0,490,157,99,0,401,92,245,515,49,30,171,32,0,485,773,99,42,1,8,45,907,9148.0
1,0,251,43,9,0,680,44,0,674,125,15,0,5,665,178,1443,0,0,32,0,538,91,174,0,450,67,205,518,31,53,174,18,0,545,760,117,24,3,14,13,771,8731.0
0,0,139,9,2,1,145,13,0,240,37,0,0,2,193,93,517,0,0,2,0,135,44,86,0,134,19,44,135,9,14,84,8,0,196,285,32,1,0,2,4,345,2970.0
0,0,146,15,2,4,208,18,0,329,21,0,0,2,169,107,396,0,0,8,0,151,191,31,0,126,18,86,185,9,6,65,3,0,160,283,27,11,0,19,7,288,3091.0
1,0,38,4,0,5,64,12,0,94,23,0,0,2,102,38,166,0,0,3,0,53,48,5,0,50,6,22,65,13,1,12,0,1,51,95,14,3,0,0,3,87,1081.0
0,0,16,0,0,0,10,2,0,27,1,0,0,1,11,6,39,0,0,0,0,10,0,2,0,5,2,3,11,0,0,6,1,0,7,23,3,1,0,0,0,19,206.0
0,0,48,2,0,0,26,3,0,70,4,0,0,0,49,17,128,0,0,1,0,22,52,7,0,45,13,28,34,4,4,13,7,0,25,107,5,1,0,0,0,92,807.0
0,0,34,2,0,4,115,11,0,195,16,1,0,0,159,61,306,0,0,4,0,83,72,24,0,57,6,39,113,10,4,38,5,0,107,174,11,5,0,7,1,160,1824.0
0,1,725,83,25,2,823,87,0,1131,361,0,2,5,1065,540,2619,0,0,25,0,731,131,265,3,602,171,303,621,51,59,187,38,0,1034,1289,262,72,1,20,34,1833,15201.0
0,0,18,1,0,0,11,1,0,32,3,0,0,0,15,9,42,0,0,1,0,16,4,7,0,10,5,5,16,3,0,5,3,0,11,32,4,0,0,1,0,33,288.0
0,0,254,31,9,5,592,22,0,644,130,31,1,16,682,324,1426,0,0,12,0,440,228,116,0,435,75,226,512,64,22,134,26,0,425,754,110,38,0,6,12,758,8560.0
0,0,141,42,7,0,273,19,0,320,58,0,0,2,330,106,720,0,0,5,0,223,52,65,0,235,53,81,191,31,21,53,4,0,215,410,31,7,1,19,5,475,4195.0
3,1,184,46,12,11,592,24,0,595,158,33,2,9,702,226,1229,0,0,17,0,388,198,67,1,555,52,219,418,74,26,89,22,0,520,747,111,63,2,14,4,686,8100.0
0,0,65,8,3,5,226,34,0,165,52,0,0,2,258,98,467,0,0,2,0,134,61,37,1,152,20,86,153,8,5,46,7,0,170,310,38,5,0,8,5,243,2874.0
1,0,261,46,10,3,673,34,0,875,191,33,0,7,675,261,1507,0,0,33,0,542,119,85,0,423,50,253,555,41,25,136,37,0,491,733,93,25,2,14,15,863,9112.0
18,0,177,42,19,18,496,20,0,674,114,15,1,6,727,205,989,0,0,12,0,355,254,58,1,453,60,175,360,53,15,76,30,0,513,681,98,48,0,11,5,621,7400.0
0,2,38,6,0,18,65,7,0,142,8,3,0,0,150,35,229,0,0,2,0,50,137,11,0,84,7,20,86,13,2,31,0,0,68,151,28,2,0,2,0,144,1541.0
0,0,94,25,3,1,312,38,0,281,47,0,1,5,278,121,587,0,0,4,0,169,134,45,0,161,9,130,214,23,5,59,3,1,246,380,91,18,0,11,2,356,3854.0
0,0,66,13,1,0,83,9,0,187,11,0,1,3,100,51,267,0,0,7,0,90,76,14,0,69,11,50,64,2,3,18,2,0,97,187,23,6,0,4,0,140,1655.0
1,0,405,55,8,11,651,31,0,817,123,45,1,11,1170,258,1674,0,0,22,0,500,209,139,1,441,114,278,572,53,33,218,38,0,545,970,159,34,1,23,12,1236,10859.0
0,0,43,3,0,1,96,11,0,148,33,0,0,0,163,53,274,0,0,3,0,80,13,6,0,101,10,55,89,14,2,19,1,0,91,200,9,9,0,7,0,165,1699.0
0,0,87,14,1,2,172,26,0,173,45,0,1,2,314,62,436,0,0,21,0,117,41,31,0,135,23,103,154,21,7,36,0,0,144,324,61,13,0,11,0,231,2808.0
0,3,149,32,5,10,430,13,0,551,89,3,2,3,844,218,1140,0,0,18,0,300,152,68,0,406,41,148,344,48,29,69,11,0,407,700,125,35,0,8,6,568,6975.0
2,0,182,32,20,4,415,16,0,644,97,2,0,3,855,261,1316,0,0,28,0,291,185,72,3,359,51,137,330,52,15,144,21,0,342,687,101,17,0,17,4,656,7361.0
0,0,84,16,1,1,167,9,0,281,18,1,0,1,148,125,336,0,0,5,0,107,117,27,1,132,15,87,147,11,5,40,4,0,147,232,42,11,1,4,1,159,2483.0
1,0,246,56,7,4,693,28,0,526,126,198,0,5,1615,178,1097,0,0,34,0,555,81,118,1,377,52,204,452,62,23,89,9,0,491,610,105,25,1,44,0,755,8868.0
3,0,481,79,32,14,1099,51,0,1227,230,129,1,7,1488,357,2522,0,0,36,0,822,221,198,3,725,84,298,751,76,39,192,67,0,918,1198,205,67,3,37,49,1381,15090.0
2,0,242,42,15,1,570,26,0,633,171,35,0,5,1066,330,1446,0,0,25,0,497,118,129,0,390,76,245,513,64,25,109,22,0,473,726,116,45,0,9,41,703,8910.0
1,0,114,5,4,4,207,13,0,301,54,0,0,1,275,113,704,0,0,16,0,152,68,72,1,124,10,126,261,7,9,136,17,0,213,336,28,4,0,5,1,409,3791.0
1,2,54,6,3,0,127,7,0,162,35,0,0,1,152,84,275,0,0,2,0,94,56,34,0,89,10,39,83,4,2,26,5,0,117,173,21,5,0,1,0,220,1890.0
5,0,524,110,22,10,1030,68,0,1192,265,25,3,11,1574,470,2322,0,0,42,0,872,311,157,1,725,93,382,815,63,49,212,84,0,939,1335,171,46,2,40,32,1445,15447.0
5,0,155,37,6,10,472,18,0,653,61,19,1,6,871,223,1207,0,0,23,0,315,131,90,3,398,47,155,383,56,37,80,13,0,351,736,100,35,1,23,5,639,7365.0
2,0,463,81,14,22,1126,73,0,1349,231,18,2,12,1376,450,2381,0,0,28,0,795,415,156,2,952,156,410,808,145,43,193,53,0,1115,1227,211,24,2,36,14,1587,15972.0
0,0,13,0,1,0,17,0,0,23,8,1,0,0,28,8,51,0,0,1,0,18,4,7,0,15,3,14,12,2,0,0,0,0,16,31,1,0,0,1,0,23,298.0
0,0,282,68,6,2,537,57,0,837,140,1,1,5,756,229,1408,0,0,32,0,420,123,120,2,493,90,214,410,62,17,106,20,0,414,997,92,25,1,27,5,1002,9001.0
0,0,269,33,13,6,446,25,0,545,101,0,3,5,688,239,952,0,0,11,0,346,154,94,3,381,63,125,353,43,23,101,20,0,568,558,90,19,2,23,7,653,6962.0
0,2,219,83,7,1,404,14,0,595,78,0,1,6,713,198,1090,0,0,7,0,323,90,82,1,316,42,178,375,36,19,104,9,0,368,499,55,12,0,7,6,696,6636.0
0,0,111,7,1,1,156,18,0,232,12,0,0,2,177,76,360,0,0,7,0,125,44,41,0,78,21,47,132,5,5,47,0,0,121,254,31,4,0,6,1,234,2356.0
0,0,93,9,9,7,238,18,0,270,39,2,0,6,208,80,483,0,0,6,0,139,185,40,0,151,20,58,176,5,18,71,7,0,199,343,47,16,0,4,0,336,3283.0
0,0,35,6,0,3,84,15,0,101,10,2,0,1,165,34,251,0,0,2,0,56,41,8,0,64,4,28,66,9,5,14,0,0,76,152,29,3,0,2,1,131,1398.0
0,0,39,8,0,1,140,2,0,151,24,0,0,1,187,72,173,0,0,11,0,60,46,22,0,65,9,73,144,8,2,54,1,0,101,172,32,5,0,1,2,150,1756.0
0,0,324,63,9,2,816,10,0,691,109,29,0,12,1299,300,1610,0,0,41,0,580,167,162,3,627,113,252,735,98,41,269,19,0,903,1086,77,57,1,11,31,1157,11704.0
1,1,381,49,26,4,776,89,0,824,187,8,6,7,1561,731,2104,0,0,15,0,563,114,146,2,483,92,277,729,79,40,194,36,0,843,1009,179,59,1,38,15,1208,12877.0
3,0,405,76,25,3,1009,43,0,1351,168,23,3,11,1212,360,2437,0,0,37,0,809,168,236,3,801,118,342,815,74,84,239,48,0,897,1339,168,49,3,23,32,1318,14732.0
4,0,476,91,20,17,1278,40,0,1100,245,28,0,14,1242,505,2464,0,0,39,0,871,305,143,8,842,140,389,935,86,45,327,86,0,819,1704,211,25,0,35,30,1514,16078.0
1,0,212,73,10,0,658,31,0,460,190,5,2,4,444,212,1010,0,0,14,0,398,68,113,4,291,24,189,489,56,24,131,16,0,427,586,122,36,1,6,12,624,6943.0
0,0,61,5,4,2,88,8,0,180,22,0,0,0,197,59,350,0,0,6,0,63,29,8,1,101,13,74,110,15,0,26,6,0,96,188,18,9,0,3,0,186,1928.0
0,0,45,8,2,1,86,5,0,109,14,0,0,0,103,38,107,0,0,2,0,41,62,12,0,52,4,46,79,7,0,22,0,0,52,69,22,2,0,0,0,71,1061.0
3,1,367,61,18,15,832,24,0,823,165,27,10,10,1515,360,1787,0,0,35,0,615,484,212,1,738,85,157,436,93,44,111,44,0,651,1230,307,73,1,34,12,1181,12562.0
1,0,311,46,9,7,642,35,0,670,147,10,4,3,814,215,1237,0,0,38,0,527,204,155,1,424,63,241,477,76,50,114,19,0,527,900,97,48,1,18,7,848,8986.0
0,0,3,1,0,0,24,1,0,18,3,1,0,0,21,4,34,0,0,1,0,11,10,1,0,6,1,8,17,0,0,3,0,0,22,13,6,0,0,0,0,21,230.0
0,0,151,21,3,10,297,48,0,342,36,0,0,3,318,150,681,0,0,10,0,179,235,48,0,181,25,105,248,20,4,68,2,0,208,409,73,22,0,8,2,320,4227.0
2,0,292,51,14,8,515,20,0,500,102,13,1,9,495,224,932,0,0,21,0,311,154,76,3,266,30,149,421,51,22,145,35,0,417,570,182,28,2,7,6,677,6751.0
3,0,391,81,17,11,806,46,0,868,177,27,1,12,771,267,1508,0,0,28,0,701,150,111,3,502,84,299,619,67,35,139,33,0,610,913,138,48,3,9,52,926,10456.0
1,0,391,52,12,11,496,51,0,846,121,1,0,6,930,249,1316,0,0,17,0,471,217,96,3,507,86,181,381,65,25,98,14,0,439,938,96,35,0,32,4,1008,9196.0
1,4,289,50,9,1,696,48,0,783,153,17,2,11,1188,386,1855,0,0,21,0,533,162,129,3,579,137,278,581,83,43,191,26,0,566,1091,170,24,2,15,10,1307,11444.0
2,0,204,52,5,0,515,25,0,754,90,3,1,10,774,210,1218,0,0,19,0,397,144,68,3,467,54,227,426,64,15,109,7,0,349,758,84,41,0,10,8,655,7768.0
3,0,464,112,35,9,1435,63,0,1379,452,47,1,19,1113,583,3065,0,0,47,0,982,244,188,1,946,139,392,865,95,96,264,78,0,1023,1725,240,73,3,25,21,1777,18004.0
1,0,478,76,15,4,809,92,0,928,315,0,3,9,1013,452,2243,0,0,27,0,663,146,150,8,622,124,325,649,91,51,187,34,0,852,1283,132,69,1,13,4,1488,13357.0
0,1,50,7,1,0,132,12,0,217,25,0,0,1,164,47,451,0,0,9,0,83,33,23,0,146,18,66,113,7,5,34,0,0,105,278,23,6,0,13,0,210,2280.0
0,0,248,46,7,0,536,17,0,736,111,0,0,6,818,215,1115,0,0,12,0,427,198,78,3,440,47,214,425,56,21,120,9,0,430,734,96,29,0,15,9,703,7921.0
1,0,582,104,26,13,1325,77,0,1107,350,29,2,18,1039,569,2623,0,0,35,0,891,235,209,11,798,116,334,789,116,67,174,46,0,913,1605,387,47,1,30,16,1656,16341.0
1,1,65,11,1,0,176,4,0,173,27,0,0,0,255,91,238,0,0,2,0,110,92,14,0,86,12,67,130,17,3,42,2,0,118,215,46,12,0,3,1,188,2203.0
3,0,391,63,14,4,1042,56,0,985,349,43,3,12,1113,522,2052,0,0,29,0,841,222,190,1,618,147,424,771,101,38,182,85,0,890,1200,173,70,3,16,39,1354,14046.0
0,0,5,0,0,0,9,1,0,26,1,1,0,0,25,7,31,0,0,0,0,5,8,2,0,22,3,5,7,0,0,1,0,0,21,19,3,0,0,1,0,19,222.0
14,0,47,5,0,0,58,4,0,108,20,3,0,0,111,40,316,0,0,4,0,37,25,34,3,78,6,22,87,3,7,47,5,0,65,161,8,13,0,34,0,190,1555.0
1,3,370,61,11,3,858,95,0,747,188,3,5,6,1427,663,1884,0,0,15,0,518,103,190,1,512,103,307,619,87,44,188,23,0,628,1010,329,92,2,16,6,1157,12275.0
1,0,525,103,33,17,1258,62,0,1405,246,51,1,15,1104,535,2794,0,0,41,0,889,255,185,3,869,150,374,924,111,58,332,44,0,952,1797,216,53,2,45,24,1638,17112.0
1,0,427,40,7,2,641,14,0,722,144,0,1,9,572,323,1146,0,0,13,0,521,312,78,5,450,75,178,487,33,53,163,15,0,619,760,130,32,2,11,13,867,8866.0
0,0,8,2,0,0,12,0,0,19,10,1,0,1,49,7,25,0,0,1,0,12,1,4,0,17,6,18,21,0,1,1,0,0,11,12,2,0,0,0,0,12,253.0
4,0,298,59,17,5,659,32,0,784,96,47,1,3,809,269,1396,0,0,21,0,495,229,110,2,510,59,195,491,48,25,125,71,0,516,823,114,35,2,20,28,761,9159.0
0,0,240,44,3,0,483,17,0,518,91,6,0,6,874,169,994,0,0,19,0,366,221,53,1,392,66,102,384,80,25,117,5,0,346,674,98,31,2,8,2,579,7016.0
0,2,385,69,14,1,527,57,0,691,288,9,1,4,1203,266,1439,0,0,19,0,484,103,123,0,360,73,341,554,36,3,105,13,0,462,918,161,26,1,23,1,794,9556.0
0,0,412,60,16,11,565,24,0,818,106,17,2,11,655,269,1963,0,0,25,0,461,366,179,2,594,132,272,479,70,37,197,71,0,499,990,178,27,0,9,5,1299,10821.0
0,0,244,35,7,5,430,17,0,622,119,5,1,4,646,243,1211,0,0,24,0,353,182,85,1,367,59,160,392,62,29,147,17,0,412,715,117,31,2,17,6,682,7449.0
1,2,475,93,20,0,1036,45,0,1107,248,25,1,6,1465,403,2135,0,0,59,0,895,178,179,3,734,128,353,732,48,51,182,68,0,883,1378,212,69,6,38,24,1255,14537.0
2,0,544,104,25,2,972,54,0,1375,240,41,2,15,1432,447,2551,0,0,39,0,890,219,130,2,748,125,381,787,73,43,197,73,0,827,1243,152,45,3,16,29,1344,15172.0
0,0,72,5,1,12,137,13,0,292,33,2,0,0,297,73,458,0,0,8,0,105,101,19,1,137,16,92,127,10,0,34,2,0,116,256,21,11,0,4,0,192,2647.0
2,0,241,34,10,4,571,29,0,562,92,21,0,6,1160,249,1218,0,0,24,0,406,183,108,1,520,59,160,474,53,26,101,22,0,549,774,111,20,0,20,5,761,8576.0
2,9,563,79,9,11,848,9,0,1215,147,23,1,16,941,365,2113,0,0,39,0,873,338,138,1,774,86,342,488,99,63,114,46,0,771,1291,130,70,2,14,18,1308,13356.0
1,0,47,4,6,3,98,2,0,177,48,0,0,3,249,85,349,0,0,7,0,89,59,24,0,137,18,113,141,9,4,14,34,0,112,208,24,8,0,5,0,242,2320.0
1,0,308,66,7,5,760,38,0,825,111,9,0,14,1033,257,1652,0,0,50,0,545,201,200,1,621,102,203,676,63,34,218,31,0,801,1147,83,41,0,12,13,1113,11241.0
0,0,57,1,0,23,90,3,0,177,31,0,0,0,105,79,252,0,0,3,0,51,168,10,0,91,14,57,107,2,3,12,2,0,94,162,34,1,0,4,0,103,1736.0
0,0,117,7,1,8,256,72,0,338,54,1,0,3,339,103,569,0,0,6,0,130,152,23,1,195,34,95,226,27,2,49,0,0,200,376,59,19,0,7,1,349,3819.0
0,0,175,43,5,0,389,26,0,549,59,0,1,5,758,183,1128,0,0,19,0,304,79,54,2,392,36,77,278,81,34,104,10,0,335,648,119,23,3,7,16,539,6481.0
2,0,413,92,11,24,879,32,0,963,207,7,0,12,1226,369,2036,0,0,51,0,744,326,212,2,738,80,322,482,123,23,85,50,0,651,1224,144,52,1,42,12,1375,13012.0
0,0,143,9,6,11,114,9,0,314,18,0,0,1,166,76,618,0,0,11,0,110,182,55,4,115,15,68,174,2,2,131,8,0,149,288,32,1,0,0,13,401,3246.0
0,0,135,12,0,33,260,35,0,315,56,5,0,6,273,135,615,0,0,10,0,160,311,33,1,190,24,84,215,11,7,47,3,0,241,380,41,16,0,13,1,281,3949.0
0,1,43,7,1,15,91,17,0,149,13,0,0,3,169,48,243,0,0,3,0,58,111,13,0,81,17,41,94,7,1,23,1,1,62,99,14,7,0,7,0,94,1534.0
2,0,191,48,11,2,444,17,0,616,101,3,1,5,947,198,1117,0,0,12,0,366,147,67,0,386,59,153,379,57,26,153,27,0,402,659,125,27,0,23,5,630,7406.0
0,0,270,63,8,6,474,40,0,676,139,3,0,9,744,234,1323,0,0,18,0,357,157,115,2,478,88,226,402,54,23,77,25,0,351,965,70,29,0,55,2,911,8394.0
0,0,80,13,2,4,133,4,0,205,30,0,0,3,137,70,490,0,0,16,0,79,40,22,0,91,17,52,195,7,3,98,10,0,109,342,20,2,0,2,4,318,2598.0
1,0,294,32,3,0,489,26,0,680,51,0,0,9,942,224,974,0,0,17,0,458,173,103,1,386,71,110,326,65,14,121,9,0,379,624,117,26,0,4,5,559,7293.0
3,0,159,33,19,24,544,21,0,546,146,37,3,8,868,216,1091,0,0,24,0,379,318,100,1,473,68,197,412,69,21,101,28,0,513,716,190,78,1,9,13,607,8036.0
0,0,52,11,0,0,132,28,0,165,35,0,0,2,184,65,422,0,0,5,0,96,18,25,0,108,10,76,117,17,4,28,0,0,151,265,44,3,0,12,0,227,2302.0
1,0,281,41,16,16,637,40,0,740,191,25,1,11,914,343,1422,0,0,26,0,495,224,114,1,328,61,232,526,48,20,162,44,0,409,813,133,44,1,14,16,886,9276.0
0,0,32,13,4,1,117,3,0,127,11,0,0,0,324,54,170,0,0,3,0,85,25,22,0,113,9,38,82,21,3,30,9,0,102,163,27,7,1,1,0,226,1823.0
4,0,432,86,24,2,1255,53,0,1199,428,16,0,12,1072,458,2872,0,0,43,0,880,134,188,7,878,178,391,856,98,46,240,66,0,882,1798,255,59,2,33,20,1676,16643.0
0,0,45,5,0,2,70,11,0,136,10,0,0,1,127,62,149,0,0,0,0,43,86,7,2,50,7,34,72,7,0,22,0,0,71,104,35,5,0,0,0,56,1219.0
0,0,96,4,6,3,92,7,0,110,30,0,0,1,63,37,260,0,0,2,0,77,55,24,0,83,16,48,85,12,2,32,1,0,78,200,16,4,0,0,0,170,1614.0
1,0,283,51,7,10,558,32,0,851,183,336,5,5,1309,207,1449,0,0,41,0,444,197,66,0,426,38,246,527,58,32,112,32,0,451,790,104,28,7,13,45,710,9654.0
0,0,34,9,2,0,120,24,0,176,51,0,0,3,166,61,299,0,0,1,0,67,9,9,0,92,9,76,134,3,0,49,15,0,104,217,25,4,0,3,1,189,1952.0
1,0,88,9,3,4,246,14,0,293,47,0,0,3,239,105,593,0,0,2,0,145,94,40,0,155,17,105,221,13,6,38,4,0,214,302,46,16,0,3,2,386,3454.0
1,2,263,69,10,8,629,35,0,768,108,245,3,4,991,279,1355,0,0,21,0,476,248,102,0,523,37,211,506,73,23,114,49,0,514,824,112,36,2,41,19,837,9538.0
0,0,58,9,1,0,93,13,0,136,29,0,0,1,99,61,208,0,0,7,0,65,15,18,0,57,10,59,105,4,2,37,6,0,85,150,14,0,0,1,1,149,1493.0
2,0,266,66,21,0,604,40,0,565,115,9,3,6,494,229,1081,0,0,20,0,399,61,95,2,289,32,170,479,65,22,158,27,0,538,649,151,25,0,2,16,699,7400.0
5,0,256,58,3,0,519,40,0,743,72,0,0,6,907,236,1286,0,0,27,0,430,274,81,1,481,61,168,421,90,20,137,23,0,367,870,107,43,0,14,4,682,8432.0
1,0,366,33,8,7,593,28,0,948,129,46,2,5,1127,313,1689,0,0,31,0,444,203,145,1,437,80,258,551,61,24,241,15,0,498,1107,180,16,2,19,3,1107,10718.0
0,0,71,15,1,7,152,24,0,217,28,0,0,2,231,87,577,0,0,6,0,132,67,63,0,117,20,110,226,19,4,92,6,0,161,350,20,2,0,6,0,268,3081.0
2,0,626,107,26,11,1483,81,0,1354,371,61,4,22,1262,635,3180,0,0,50,0,1098,206,200,2,913,183,446,997,95,69,291,25,1,966,2038,269,48,2,33,15,1892,19064.0
3,0,452,93,24,6,862,8,0,1242,248,1,1,5,841,328,2533,0,0,30,0,734,213,140,0,776,95,332,581,101,48,158,57,0,722,1318,203,67,1,31,3,1571,13828.0
0,0,288,39,14,3,635,14,0,688,104,0,4,4,1232,319,1179,0,0,17,0,474,164,84,2,457,59,138,416,35,21,114,18,0,710,799,106,37,0,21,5,931,9131.0
0,0,627,90,41,7,859,76,0,1225,346,0,4,16,1110,546,2448,0,0,30,0,710,225,255,7,605,160,345,617,62,52,151,57,0,1052,1311,283,66,2,20,27,1728,15160.0
1,0,171,25,10,1,482,49,0,617,99,45,0,9,566,172,981,0,0,10,0,304,95,79,2,317,51,115,348,26,21,122,13,0,374,480,130,29,3,13,4,559,6323.0
2,0,259,39,18,4,595,16,0,774,94,0,1,6,1110,303,1238,0,0,11,0,418,185,93,0,482,72,233,527,44,27,149,37,0,639,820,114,40,1,15,8,896,9270.0
2,2,405,66,5,3,844,82,0,1116,216,58,2,18,1142,357,2068,0,0,51,0,729,148,143,2,838,126,304,571,139,42,115,29,0,913,1151,231,44,6,33,19,1161,13181.0
1,0,114,2,4,4,175,10,0,211,33,0,0,0,194,100,339,0,0,8,0,132,137,24,1,117,18,75,132,16,3,45,6,0,177,197,39,17,1,0,1,276,2609.0
1,0,84,14,1,4,210,60,0,267,42,0,3,5,243,30,549,0,0,4,0,127,81,27,0,141,20,84,184,20,4,56,0,0,111,340,58,13,0,12,1,297,3093.0
3,0,411,54,9,6,674,38,0,870,169,21,1,7,735,248,1390,0,0,30,0,533,353,122,2,507,103,249,584,52,38,154,38,0,622,963,143,73,1,28,14,965,10210.0
1,1,250,55,23,19,698,43,0,844,130,217,4,7,1282,229,1276,0,0,21,0,580,273,64,1,445,41,247,493,69,14,68,24,0,530,741,97,27,4,24,4,792,9638.0
5,0,422,91,13,7,940,81,0,1337,297,23,2,12,1304,387,2381,0,0,37,0,773,233,119,0,855,151,456,765,114,47,166,34,0,957,1409,160,29,0,23,5,1437,15072.0
0,0,96,9,4,5,166,27,0,218,17,0,0,4,177,101,391,0,0,5,0,102,184,25,0,115,12,41,147,7,5,32,1,0,141,215,29,9,0,8,0,197,2490.0
0,0,118,8,2,7,169,16,0,242,19,0,0,0,132,96,358,0,0,2,0,135,228,23,0,120,19,51,133,7,11,35,1,0,165,203,31,4,0,2,0,168,2505.0
1,0,735,107,39,5,937,97,0,1202,187,1,4,14,1089,662,2373,0,0,51,0,797,185,179,1,524,84,260,747,61,42,281,84,0,1266,1482,172,37,2,14,26,1555,15303.0
0,0,13,0,0,0,11,2,0,25,2,0,0,0,55,20,74,0,0,1,0,17,7,2,0,19,3,3,10,0,0,3,0,0,15,45,5,2,0,0,0,47,381.0
0,1,322,51,12,1,733,55,0,874,161,41,1,16,1183,329,1891,0,0,15,0,508,104,141,3,520,141,279,567,87,45,201,18,0,597,1048,202,19,2,33,4,1348,11553.0
0,0,52,4,2,1,53,6,0,99,14,0,0,0,152,31,216,0,0,2,0,63,46,44,0,53,6,43,75,4,2,39,5,0,76,144,5,2,0,0,0,136,1375.0
0,0,308,33,7,2,501,31,0,491,64,0,0,7,749,200,877,0,0,21,0,471,229,61,3,336,66,154,393,46,36,113,12,0,372,614,135,22,2,10,5,596,6967.0
1,0,318,40,8,5,613,35,0,684,133,0,1,8,1055,291,1375,0,0,17,0,482,209,128,2,547,89,132,479,67,41,148,33,0,728,856,138,52,2,34,13,898,9662.0
0,0,400,144,23,1,881,16,0,1153,262,17,0,6,905,310,2484,0,0,29,0,703,248,195,3,841,93,354,509,101,23,88,90,0,698,1256,138,64,4,33,7,1476,13555.0
0,0,58,14,1,6,156,13,0,176,31,0,1,0,163,84,554,0,0,8,0,57,55,54,0,83,13,62,199,5,5,131,3,0,153,339,20,3,0,2,0,273,2722.0
0,0,30,22,1,1,104,11,0,120,36,0,0,0,80,57,274,0,0,3,0,58,56,30,0,46,5,48,114,3,3,59,3,0,92,175,15,3,0,0,0,152,1601.0
5,0,372,51,13,2,728,26,0,792,161,0,4,2,800,336,1248,0,0,15,0,541,198,95,5,395,56,218,531,51,70,173,22,0,643,721,142,29,1,25,18,903,9392.0
1,0,579,103,22,8,951,124,0,1180,176,0,4,15,1023,643,2258,0,0,68,0,754,192,161,13,565,88,270,726,55,18,279,66,0,1324,1440,151,54,2,25,21,1347,14706.0
0,0,362,48,17,16,618,23,0,748,173,21,0,11,627,368,1371,0,0,16,0,497,253,148,0,399,69,213,472,62,23,126,25,0,479,714,120,44,0,11,14,876,8964.0
3,2,227,41,23,12,511,20,0,623,134,11,2,4,677,240,1091,0,0,16,0,396,188,56,2,464,56,235,385,58,25,97,20,0,489,696,119,48,1,9,1,669,7651.0
1,1,429,65,8,19,741,26,0,1016,172,31,3,7,885,524,1799,0,0,27,0,548,715,130,1,624,67,333,679,82,37,134,67,0,686,936,202,56,0,32,30,1080,12193.0
1,0,436,73,19,8,1064,56,0,1243,274,45,6,9,1499,507,2090,0,0,25,0,858,209,187,4,671,142,427,886,137,48,216,43,0,807,1084,195,67,2,32,6,1322,14698.0
